Name,Parent
English,
Literary and Cultural Studies,English
Rhetoric,English
Creative Writing,English
Critical University Studies,Literary and Cultural Studies
Power,English
Language and the Law,Power
Health,Rhetoric
Digital Humanities,English
Media,English
Performance Studies,Literary and Cultural Studies
Gender Studies,Power
History,English
Translation,Migration
Poetry,Creative Writing
Fiction,Creative Writing
Memoir,Non-Fiction
Drama,Creative Writing
Screenwriting,Creative Writing
Professional/Workplace Communication,Rhetoric
Writing and Statistics,Rhetoric
Networks,Digital Humanities
Race,Power
Film,Media
Propaganda,Media
Print History,Media
Migration,English
Literary and Cultural History,History
History of Rhetoric,History
Large Scale Text Analysis,Digital Humanities
Globalization,Migration
Mobilities,Migration
Empire,Migration
Data Privacy & Ethics,Digital Humanities
Virtual Reality,Digital Humanities
Grammar,Rhetoric
Style,Rhetoric
Shakespeare,Literary and Cultural History
Jane Austen,Literary and Cultural History
Ralph Ellison,Literary and Cultural History
Essay,Non-Fiction
International Law & Human Rights,Migration
Non-Fiction,Creative Writing
George Orwell,Literary and Cultural History
Toni Morrison,Literary and Cultural History
Novel,Fiction
Short Stories,Fiction
